ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequence,0,0.039767122906242222
ModelNSpike,ScenarioControl,sequence,6,0.037673691727431804
ModelNSpike,ScenarioControl,sequence,4,0.038055907566512961
ModelNSpike,ScenarioControl,sequence,2,0.036728056771605622
ModelNSpike,ScenarioControl,sequence,3,0.037573835821029668
ModelNSpike,ScenarioControl,sequence,1,0.039893007324373828
ModelNSpike,ScenarioControl,sequence,5,0.039851609395569171
ModelNSpike,ScenarioControl,sequence,7,0.035637088871158143
ModelNSpike,ScenarioControl,sequence,8,0.039447469449183113
ModelNSpike,ScenarioControl,sequence,14,0.041070403736665123
ModelNSpike,ScenarioControl,sequence,12,0.03846800614073536
ModelNSpike,ScenarioControl,sequence,10,0.036475993270151406
ModelNSpike,ScenarioControl,sequence,11,0.036695979554484857
ModelNSpike,ScenarioControl,sequence,9,0.040986486878671811
ModelNSpike,ScenarioControl,sequence,13,0.038338011707952736
ModelNSpike,ScenarioControl,sequence,15,0.043983784634751874
ModelNSpike,ScenarioControl,sequence,16,0.039893007324373828
ModelNSpike,ScenarioControl,sequence,22,0.035637088871158143
ModelNSpike,ScenarioControl,sequence,20,0.039851609395569171
ModelNSpike,ScenarioControl,sequence,18,0.037573835821029668
ModelNSpike,ScenarioControl,sequence,19,0.038055907566512961
ModelNSpike,ScenarioControl,sequence,17,0.036728056771605622
ModelNSpike,ScenarioControl,sequence,21,0.037673691727431804
ModelNSpike,ScenarioControl,sequence,23,0.039318414360209344
ModelNSpike,ScenarioControl,sequence,24,0.040986486878671811
ModelNSpike,ScenarioControl,sequence,30,0.043983784634751874
ModelNSpike,ScenarioControl,sequence,28,0.038338011707952736
ModelNSpike,ScenarioControl,sequence,26,0.036695979554484857
ModelNSpike,ScenarioControl,sequence,27,0.03846800614073536
ModelNSpike,ScenarioControl,sequence,25,0.036475993270151406
ModelNSpike,ScenarioControl,sequence,29,0.041070403736665123
ModelNSpike,ScenarioControl,sequence,31,0.039033987489384844
ModelNSpike,ScenarioControl,sequence,32,0.036728056771605622
ModelNSpike,ScenarioControl,sequence,38,0.039318414360209344
ModelNSpike,ScenarioControl,sequence,36,0.037673691727431804
ModelNSpike,ScenarioControl,sequence,34,0.038055907566512961
ModelNSpike,ScenarioControl,sequence,35,0.039851609395569171
ModelNSpike,ScenarioControl,sequence,33,0.037573835821029668
ModelNSpike,ScenarioControl,sequence,37,0.035637088871158143
ModelNSpike,ScenarioControl,sequence,39,0.04197279420460312
ModelNSpike,ScenarioControl,sequence,40,0.036475993270151406
ModelNSpike,ScenarioControl,sequence,46,0.039033987489384844
ModelNSpike,ScenarioControl,sequence,44,0.041070403736665123
ModelNSpike,ScenarioControl,sequence,42,0.03846800614073536
ModelNSpike,ScenarioControl,sequence,43,0.038338011707952736
ModelNSpike,ScenarioControl,sequence,41,0.036695979554484857
ModelNSpike,ScenarioControl,sequence,45,0.043983784634751874
ModelNSpike,ScenarioControl,sequence,47,0.036471230125688696
ModelNSpike,ScenarioControl,sequence,48,0.037573835821029668
ModelNSpike,ScenarioControl,sequence,49,0.038055907566512961
