ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioControl,0,0.039701363087725518
ModelNSpike,ScenarioControl,2,0.03922849638972345
ModelNSpike,ScenarioControl,4,0.039117943865502942
ModelNSpike,ScenarioControl,6,0.043073209088731308
ModelNSpike,ScenarioControl,1,0.038648260736839787
ModelNSpike,ScenarioControl,5,0.041040486230842027
ModelNSpike,ScenarioControl,3,0.038068178258748489
ModelNSpike,ScenarioControl,7,0.039393622893804776
ModelNSpike,ScenarioControl,8,0.03885347095869203
ModelNSpike,ScenarioControl,10,0.036076999522730691
ModelNSpike,ScenarioControl,14,0.038260089082724512
ModelNSpike,ScenarioControl,12,0.039933962582250015
ModelNSpike,ScenarioControl,9,0.039503478200559355
ModelNSpike,ScenarioControl,13,0.038915185979204653
ModelNSpike,ScenarioControl,11,0.038806945049722742
ModelNSpike,ScenarioControl,15,0.041544686049678398
ModelNSpike,ScenarioControl,16,0.036697714031034195
ModelNSpike,ScenarioControl,22,0.042271752647350613
ModelNSpike,ScenarioControl,18,0.033499626356658041
ModelNSpike,ScenarioControl,20,0.038424775615755691
ModelNSpike,ScenarioControl,17,0.037317878174857037
ModelNSpike,ScenarioControl,21,0.039907863424016518
ModelNSpike,ScenarioControl,19,0.038210618774313629
ModelNSpike,ScenarioControl,23,0.04010476802553678
ModelNSpike,ScenarioControl,30,0.037604721861406953
ModelNSpike,ScenarioControl,26,0.039237010170101602
ModelNSpike,ScenarioControl,28,0.040578094200495844
ModelNSpike,ScenarioControl,24,0.038459026672775287
ModelNSpike,ScenarioControl,29,0.03842209389864551
ModelNSpike,ScenarioControl,25,0.039711040182526441
ModelNSpike,ScenarioControl,31,0.038981236326149103
ModelNSpike,ScenarioControl,27,0.037520333246239455
ModelNSpike,ScenarioControl,38,0.037370295502933658
ModelNSpike,ScenarioControl,34,0.039854833413914784
ModelNSpike,ScenarioControl,36,0.039085840289944614
ModelNSpike,ScenarioControl,32,0.039899082251505048
ModelNSpike,ScenarioControl,37,0.037222736958218351
ModelNSpike,ScenarioControl,33,0.039188601422148084
ModelNSpike,ScenarioControl,39,0.041137472283885437
ModelNSpike,ScenarioControl,35,0.038096080592697118
ModelNSpike,ScenarioControl,46,0.038467846477471285
ModelNSpike,ScenarioControl,42,0.039436911590843331
ModelNSpike,ScenarioControl,44,0.039219383844753569
ModelNSpike,ScenarioControl,40,0.039756564830389182
ModelNSpike,ScenarioControl,45,0.041326085622666896
ModelNSpike,ScenarioControl,41,0.040529068937072102
ModelNSpike,ScenarioControl,43,0.040601262931223014
ModelNSpike,ScenarioControl,47,0.037619631019570915
ModelNSpike,ScenarioControl,48,0.037914710048602501
ModelNSpike,ScenarioControl,49,0.036955690410107725
