ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequenceShort,0,0.03986153536588203
ModelNSpike,ScenarioControl,sequenceShort,7,0.049962605574586254
ModelNSpike,ScenarioControl,sequenceShort,4,0.037099346364232837
ModelNSpike,ScenarioControl,sequenceShort,2,0.069174188807374956
ModelNSpike,ScenarioControl,sequenceShort,5,0.047267832382487947
ModelNSpike,ScenarioControl,sequenceShort,6,0.039403782163253756
ModelNSpike,ScenarioControl,sequenceShort,1,0.073304561242567859
ModelNSpike,ScenarioControl,sequenceShort,3,0.046327306178167681
ModelNSpike,ScenarioControl,sequenceShort,8,0.037711276289668437
ModelNSpike,ScenarioControl,sequenceShort,15,0.035635932276316243
ModelNSpike,ScenarioControl,sequenceShort,12,0.12046759302074694
ModelNSpike,ScenarioControl,sequenceShort,10,0.084340744113756416
ModelNSpike,ScenarioControl,sequenceShort,13,0.036926155315837685
ModelNSpike,ScenarioControl,sequenceShort,11,0.044928186392592266
ModelNSpike,ScenarioControl,sequenceShort,9,0.041076617810667786
ModelNSpike,ScenarioControl,sequenceShort,14,0.044628684682220941
ModelNSpike,ScenarioControl,sequenceShort,23,0.046474533731237236
ModelNSpike,ScenarioControl,sequenceShort,20,0.047267832382487947
ModelNSpike,ScenarioControl,sequenceShort,18,0.046327306178167681
ModelNSpike,ScenarioControl,sequenceShort,16,0.073304561242567859
ModelNSpike,ScenarioControl,sequenceShort,22,0.049962605574586254
ModelNSpike,ScenarioControl,sequenceShort,21,0.039403782163253756
ModelNSpike,ScenarioControl,sequenceShort,19,0.037099346364232837
ModelNSpike,ScenarioControl,sequenceShort,17,0.069174188807374956
ModelNSpike,ScenarioControl,sequenceShort,31,0.035304103213748807
ModelNSpike,ScenarioControl,sequenceShort,26,0.044928186392592266
ModelNSpike,ScenarioControl,sequenceShort,28,0.036926155315837685
ModelNSpike,ScenarioControl,sequenceShort,24,0.041076617810667786
ModelNSpike,ScenarioControl,sequenceShort,30,0.035635932276316243
ModelNSpike,ScenarioControl,sequenceShort,29,0.044628684682220941
ModelNSpike,ScenarioControl,sequenceShort,27,0.12046759302074694
ModelNSpike,ScenarioControl,sequenceShort,25,0.084340744113756416
ModelNSpike,ScenarioControl,sequenceShort,39,0.051086933992303706
ModelNSpike,ScenarioControl,sequenceShort,34,0.037099346364232837
ModelNSpike,ScenarioControl,sequenceShort,36,0.039403782163253756
ModelNSpike,ScenarioControl,sequenceShort,32,0.069174188807374956
ModelNSpike,ScenarioControl,sequenceShort,38,0.046474533731237236
ModelNSpike,ScenarioControl,sequenceShort,37,0.049962605574586254
ModelNSpike,ScenarioControl,sequenceShort,33,0.046327306178167681
ModelNSpike,ScenarioControl,sequenceShort,35,0.047267832382487947
ModelNSpike,ScenarioControl,sequenceShort,47,0.039134788609000284
ModelNSpike,ScenarioControl,sequenceShort,42,0.12046759302074694
ModelNSpike,ScenarioControl,sequenceShort,44,0.044628684682220941
ModelNSpike,ScenarioControl,sequenceShort,40,0.084340744113756416
ModelNSpike,ScenarioControl,sequenceShort,46,0.035304103213748807
ModelNSpike,ScenarioControl,sequenceShort,41,0.044928186392592266
ModelNSpike,ScenarioControl,sequenceShort,43,0.036926155315837685
ModelNSpike,ScenarioControl,sequenceShort,45,0.035635932276316243
ModelNSpike,ScenarioControl,sequenceShort,48,0.046327306178167681
ModelNSpike,ScenarioControl,sequenceShort,49,0.037099346364232837
ModelNSpike,ScenarioControl,sequenceShortMixte,0,0.036941082948128361
ModelNSpike,ScenarioControl,sequenceShortMixte,2,0.037804066923886354
ModelNSpike,ScenarioControl,sequenceShortMixte,6,0.035504389933713743
ModelNSpike,ScenarioControl,sequenceShortMixte,4,0.036874318702277142
ModelNSpike,ScenarioControl,sequenceShortMixte,3,0.037880862907369341
ModelNSpike,ScenarioControl,sequenceShortMixte,7,0.037166981268991303
ModelNSpike,ScenarioControl,sequenceShortMixte,1,0.035676260355478301
ModelNSpike,ScenarioControl,sequenceShortMixte,5,0.039690173034401879
ModelNSpike,ScenarioControl,sequenceShortMixte,8,0.036013835946063298
ModelNSpike,ScenarioControl,sequenceShortMixte,14,0.037770393560970172
ModelNSpike,ScenarioControl,sequenceShortMixte,12,0.038332361850972961
ModelNSpike,ScenarioControl,sequenceShortMixte,10,0.036466302613233262
ModelNSpike,ScenarioControl,sequenceShortMixte,11,0.037651692251966844
ModelNSpike,ScenarioControl,sequenceShortMixte,13,0.036615926839029533
