ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioControl,0,0.035747029558381001
ModelNSpike,ScenarioControl,1,0.034879067879557787
ModelNSpike,ScenarioControl,2,0.037403561993863119
ModelNSpike,ScenarioControl,7,0.035951598197954043
ModelNSpike,ScenarioControl,4,0.037391583644652268
ModelNSpike,ScenarioControl,6,0.036471231846716475
ModelNSpike,ScenarioControl,3,0.036010335257540375
ModelNSpike,ScenarioControl,5,0.037382777553863343
ModelNSpike,ScenarioControl,8,0.038125502229705552
ModelNSpike,ScenarioControl,9,0.036339418735581996
ModelNSpike,ScenarioControl,10,0.036868053266343966
ModelNSpike,ScenarioControl,14,0.036384582201438899
ModelNSpike,ScenarioControl,15,0.037472795720302453
ModelNSpike,ScenarioControl,12,0.036630489241836824
ModelNSpike,ScenarioControl,11,0.035482208378167436
ModelNSpike,ScenarioControl,13,0.03523389367956363
ModelNSpike,ScenarioControl,17,0.035053488114320103
ModelNSpike,ScenarioControl,16,0.037766083449217121
ModelNSpike,ScenarioControl,18,0.037540325839944086
ModelNSpike,ScenarioControl,22,0.037581880525894541
ModelNSpike,ScenarioControl,20,0.039409538453372465
ModelNSpike,ScenarioControl,23,0.035569802062269687
ModelNSpike,ScenarioControl,19,0.03572763370177149
ModelNSpike,ScenarioControl,21,0.036761540145662422
ModelNSpike,ScenarioControl,25,0.035608095808552523
ModelNSpike,ScenarioControl,24,0.038966681525094513
ModelNSpike,ScenarioControl,26,0.036096352533143798
ModelNSpike,ScenarioControl,30,0.035441231309350792
ModelNSpike,ScenarioControl,28,0.037906166551619734
ModelNSpike,ScenarioControl,31,0.0367642628498005
ModelNSpike,ScenarioControl,27,0.037331509270073886
ModelNSpike,ScenarioControl,29,0.036241779052080834
ModelNSpike,ScenarioControl,33,0.035532270165480662
ModelNSpike,ScenarioControl,32,0.03825866804403693
ModelNSpike,ScenarioControl,34,0.03634482696385552
ModelNSpike,ScenarioControl,38,0.035382897729494593
ModelNSpike,ScenarioControl,36,0.038702235568782696
ModelNSpike,ScenarioControl,39,0.035553233469911842
ModelNSpike,ScenarioControl,35,0.037216075772397536
ModelNSpike,ScenarioControl,37,0.038362214311613088
ModelNSpike,ScenarioControl,41,0.03585388642670894
ModelNSpike,ScenarioControl,40,0.038668334927137678
ModelNSpike,ScenarioControl,42,0.035416394189889865
ModelNSpike,ScenarioControl,46,0.037530345615067615
ModelNSpike,ScenarioControl,44,0.036218905716594314
ModelNSpike,ScenarioControl,43,0.036583344517820526
ModelNSpike,ScenarioControl,47,0.036947709648156447
ModelNSpike,ScenarioControl,45,0.036520387259816212
ModelNSpike,ScenarioControl,48,0.034621063659674843
ModelNSpike,ScenarioControl,49,0.036870154851853805
